,OPERA,MES,TIPOVUELO,SIGLADES,DIANOM,atraso_15
7631,Sky Airline,2,N,Copiapo,Viernes,0
52947,Grupo LATAM,10,N,Concepcion,Viernes,1
65258,Grupo LATAM,12,N,Concepcion,Domingo,0
21371,Grupo LATAM,4,I,Lima,Martes,1
10030,Grupo LATAM,2,N,Copiapo,Miercoles,0
12463,Grupo LATAM,3,I,Asuncion,Miercoles,0
63505,Sky Airline,12,N,La Serena,Viernes,0
47245,Grupo LATAM,9,N,Concepcion,Jueves,0
67863,Latin American Wings,12,N,Concepcion,Martes,0
27811,Avianca,6,I,Bogota,Miercoles,0
8970,Grupo LATAM,2,N,Iquique,Martes,0
43113,Grupo LATAM,8,I,Miami,Sabado,1
6785,Iberia,2,I,Madrid,Viernes,0
40199,Sky Airline,8,N,Calama,Martes,0
27227,Grupo LATAM,5,I,Buenos Aires,Jueves,1
55940,Aerolineas Argentinas,11,I,Buenos Aires,Miercoles,0
53778,Grupo LATAM,10,N,Calama,Jueves,0
42991,Grupo LATAM,8,I,Buenos Aires,Domingo,0
62681,Oceanair Linhas Aereas,12,I,Sao Paulo,Viernes,0
2210,Sky Airline,1,N,Arica,Miercoles,0
61957,Air Canada,12,I,Toronto,Domingo,1
6067,Latin American Wings,1,I,Lima,Miercoles,0
40844,Grupo LATAM,8,N,Castro (Chiloe),Domingo,0
19952,Grupo LATAM,4,N,Concepcion,Lunes,0
57773,Sky Airline,11,N,Iquique,Sabado,1
50635,Grupo LATAM,10,I,Sao Paulo,Martes,0
63058,Sky Airline,12,N,Puerto Montt,Sabado,0
67073,Grupo LATAM,12,I,Madrid,Miercoles,1
522,Copa Air,1,I,Ciudad de Panama,Domingo,0
23126,Grupo LATAM,5,I,Rio de Janeiro,Martes,0
45924,Sky Airline,9,N,Antofagasta,Domingo,1
20454,Grupo LATAM,4,N,Punta Arenas,Lunes,0
16780,Grupo LATAM,3,I,Mendoza,Lunes,0
24346,Grupo LATAM,5,N,Castro (Chiloe),Miercoles,0
47202,Grupo LATAM,9,N,Concepcion,Viernes,0
68162,JetSmart SPA,12,N,Temuco,Jueves,0
25565,Grupo LATAM,5,N,Punta Arenas,Martes,0
11438,Grupo LATAM,2,I,Guayaquil,Domingo,1
14772,Grupo LATAM,3,N,Concepcion,Martes,0
14438,Grupo LATAM,3,N,Iquique,Viernes,1
45565,Sky Airline,9,N,Concepcion,Martes,0
11086,Grupo LATAM,2,I,Auckland N.Z.,Sabado,0
1248,Sky Airline,1,N,Puerto Montt,Sabado,0
45723,Sky Airline,9,N,Copiapo,Lunes,0
67041,Grupo LATAM,12,I,Sao Paulo,Miercoles,0
50989,Sky Airline,10,N,Puerto Montt,Sabado,0
48572,Grupo LATAM,9,I,Buenos Aires,Sabado,1
61149,Grupo LATAM,11,N,Antofagasta,Domingo,0
34478,Sky Airline,7,N,Iquique,Miercoles,0
20496,Grupo LATAM,4,N,La Serena,Martes,0
53059,Grupo LATAM,10,N,Temuco,Jueves,0
29460,Sky Airline,6,I,Lima,Miercoles,0
29901,Grupo LATAM,6,N,Iquique,Lunes,0
2058,Sky Airline,1,N,Iquique,Domingo,0
14963,Grupo LATAM,3,N,Puerto Montt,Miercoles,0
35578,Grupo LATAM,7,N,Arica,Lunes,0
9051,Grupo LATAM,2,N,Iquique,Viernes,0
48360,Grupo LATAM,9,I,Mendoza,Martes,0
2529,Grupo LATAM,1,N,Puerto Natales,Sabado,0
57479,Sky Airline,11,N,Calama,Jueves,0
17432,Aerolineas Argentinas,4,I,Buenos Aires,Jueves,0
19924,Grupo LATAM,4,N,Concepcion,Miercoles,0
23624,Sky Airline,5,N,La Serena,Jueves,0
59930,Grupo LATAM,11,N,Calama,Lunes,0
56265,Copa Air,11,I,Ciudad de Panama,Sabado,0
5267,Grupo LATAM,1,I,Lima,Lunes,0
47703,Grupo LATAM,9,N,Puerto Montt,Lunes,1
56557,United Airlines,11,I,Houston,Sabado,0
7207,Sky Airline,2,N,Puerto Montt,Jueves,0
24313,Grupo LATAM,5,N,Antofagasta,Sabado,0
9217,Grupo LATAM,2,N,Concepcion,Martes,0
12777,Sky Airline,3,N,Puerto Montt,Miercoles,0
12298,Gol Trans,3,I,Sao Paulo,Lunes,0
2647,Grupo LATAM,1,N,Balmaceda,Domingo,0
65456,Grupo LATAM,12,N,Osorno,Viernes,1
68079,JetSmart SPA,12,N,Concepcion,Lunes,1
59902,Grupo LATAM,11,N,Calama,Viernes,0
19162,Sky Airline,4,I,Lima,Domingo,0
45827,Sky Airline,9,N,Calama,Viernes,0
28885,Sky Airline,6,N,Calama,Domingo,0
9752,Grupo LATAM,2,N,Punta Arenas,Miercoles,0
18463,Sky Airline,4,N,Concepcion,Martes,0
17119,Latin American Wings,3,N,Concepcion,Viernes,1
1096,Grupo LATAM,1,I,Rio de Janeiro,Sabado,0
20584,Grupo LATAM,4,N,Copiapo,Jueves,0
26524,Grupo LATAM,5,I,Miami,Martes,0
12782,Sky Airline,3,N,Puerto Montt,Lunes,0
27432,American Airlines,6,I,Miami,Lunes,0
29785,Grupo LATAM,6,N,Calama,Lunes,0
63445,Sky Airline,12,N,Concepcion,Sabado,1
32983,Copa Air,7,I,Ciudad de Panama,Martes,1
53681,Grupo LATAM,10,N,Antofagasta,Miercoles,0
54955,Grupo LATAM,10,I,Melbourne,Sabado,1
25092,Grupo LATAM,5,N,Concepcion,Martes,0
8149,Sky Airline,2,I,Buenos Aires,Martes,0
4164,Grupo LATAM,1,N,La Serena,Domingo,0
5281,Grupo LATAM,1,I,Lima,Lunes,0
21500,Grupo LATAM,4,I,Punta Cana,Domingo,1
51879,Sky Airline,10,I,Buenos Aires,Domingo,0
24272,Sky Airline,5,I,Lima,Martes,0
46708,Grupo LATAM,9,N,Antofagasta,Viernes,0
53745,Grupo LATAM,10,N,Calama,Martes,0
5794,Grupo LATAM,1,I,La Paz,Jueves,0
25865,Grupo LATAM,5,N,Calama,Martes,0
12722,Sky Airline,3,N,Puerto Montt,Jueves,0
15881,Grupo LATAM,3,I,Buenos Aires,Jueves,0
46711,Grupo LATAM,9,N,Antofagasta,Lunes,0
2750,Grupo LATAM,1,N,Antofagasta,Miercoles,1
2850,Grupo LATAM,1,N,Antofagasta,Domingo,0
33585,Grupo LATAM,7,I,Rio de Janeiro,Miercoles,0
10286,Grupo LATAM,2,N,Calama,Martes,0
24088,Sky Airline,5,N,Arica,Miercoles,0
30577,Grupo LATAM,6,N,Punta Arenas,Miercoles,0
18082,Grupo LATAM,4,I,Rio de Janeiro,Viernes,0
25061,Grupo LATAM,5,N,Concepcion,Domingo,0
60425,Grupo LATAM,11,I,Buenos Aires,Miercoles,1
4950,Grupo LATAM,1,I,Miami,Miercoles,0
14843,Grupo LATAM,3,N,Temuco,Jueves,1
12818,Sky Airline,3,N,Balmaceda,Lunes,0
49893,Aeromexico,10,I,Ciudad de Mexico,Jueves,0
9989,Grupo LATAM,2,N,La Serena,Domingo,0
10862,Grupo LATAM,2,I,Lima,Miercoles,0
21292,Grupo LATAM,4,I,Cordoba,Jueves,0
45892,Sky Airline,9,N,Antofagasta,Lunes,0
29533,Grupo LATAM,6,N,Copiapo,Jueves,0
44519,Avianca,9,I,Bogota,Lunes,0
37561,Grupo LATAM,7,I,Ciudad de Mexico,Miercoles,0
65545,Grupo LATAM,12,N,Puerto Montt,Miercoles,0
13009,Sky Airline,3,N,Concepcion,Miercoles,0
53408,Grupo LATAM,10,N,Punta Arenas,Viernes,0
25297,Grupo LATAM,5,N,Osorno,Viernes,1
4580,Grupo LATAM,1,N,Calama,Domingo,0
9100,Grupo LATAM,2,N,Arica,Lunes,0
8435,Grupo LATAM,2,N,Temuco,Sabado,1
31627,Grupo LATAM,6,I,Bogota,Jueves,0
56139,Avianca,11,I,Bogota,Domingo,1
51556,Sky Airline,10,N,Antofagasta,Martes,0
53982,Grupo LATAM,10,I,Montevideo,Lunes,0
67451,Grupo LATAM,12,I,Florianapolis,Sabado,0
9719,Grupo LATAM,2,N,Punta Arenas,Viernes,0
27952,Copa Air,6,I,Ciudad de Panama,Jueves,0
58651,Grupo LATAM,11,N,Calama,Miercoles,0
42712,Grupo LATAM,8,I,Montevideo,Domingo,0
50281,Copa Air,10,I,Ciudad de Panama,Lunes,1
4629,Grupo LATAM,1,N,Arica,Jueves,1
4344,Grupo LATAM,1,N,Antofagasta,Miercoles,1
12197,Copa Air,3,I,Ciudad de Panama,Miercoles,0
14215,Grupo LATAM,3,N,Antofagasta,Miercoles,0
5036,Grupo LATAM,1,I,Nueva York,Martes,1
55201,Grupo LATAM,10,I,Lima,Lunes,1
25931,Grupo LATAM,5,N,Calama,Viernes,0
39615,Sky Airline,8,N,Puerto Montt,Viernes,0
15843,Grupo LATAM,3,I,Buenos Aires,Martes,0
46883,Grupo LATAM,9,N,Iquique,Martes,0
33480,Grupo LATAM,7,I,Rio de Janeiro,Miercoles,1
23340,Sky Airline,5,N,Puerto Montt,Martes,0
3519,Grupo LATAM,1,N,Temuco,Viernes,0
2413,Sky Airline,1,I,Montevideo,Sabado,0
892,United Airlines,1,I,Houston,Domingo,0
51454,Sky Airline,10,N,Calama,Sabado,0
23232,Sky Airline,5,N,Puerto Montt,Domingo,0
60858,Grupo LATAM,11,I,Sao Paulo,Martes,1
23987,Sky Airline,5,N,Iquique,Lunes,0
17302,Aeromexico,4,I,Ciudad de Mexico,Sabado,0
26408,Grupo LATAM,5,I,Buenos Aires,Jueves,0
23117,Grupo LATAM,5,I,Rio de Janeiro,Domingo,0
25935,Grupo LATAM,5,N,Calama,Jueves,0
56449,Iberia,11,I,Madrid,Jueves,0
29190,Sky Airline,6,N,Iquique,Viernes,0
47724,Grupo LATAM,9,N,Punta Arenas,Miercoles,0
58545,Grupo LATAM,11,N,Calama,Martes,0
25017,Grupo LATAM,5,N,Concepcion,Miercoles,0
52282,Grupo LATAM,10,N,Antofagasta,Sabado,1
67386,Grupo LATAM,12,N,Arica,Miercoles,0
765,Iberia,1,I,Madrid,Miercoles,0
59327,Grupo LATAM,11,N,Balmaceda,Miercoles,0
18818,Sky Airline,4,N,Antofagasta,Miercoles,0
46290,Sky Airline,9,I,Mendoza,Sabado,0
18081,Grupo LATAM,4,I,Rio de Janeiro,Jueves,1
27838,Alitalia,6,I,Roma,Sabado,0
59903,Grupo LATAM,11,N,Calama,Domingo,0
18026,Grupo LATAM,4,I,Sao Paulo,Domingo,0
31289,Grupo LATAM,6,I,Buenos Aires,Miercoles,0
5917,Grupo LATAM,1,I,Lima,Miercoles,1
1129,Grupo LATAM,1,I,Lima,Lunes,1
12773,Sky Airline,3,N,Puerto Montt,Sabado,0
33206,Iberia,7,I,Madrid,Jueves,0
23449,Sky Airline,5,N,Temuco,Viernes,0
9161,Grupo LATAM,2,N,Concepcion,Miercoles,0
39137,Iberia,8,I,Madrid,Domingo,0
47710,Grupo LATAM,9,N,Puerto Montt,Miercoles,0
27081,Grupo LATAM,5,N,Antofagasta,Viernes,0
8805,Grupo LATAM,2,N,Calama,Domingo,0
58882,Grupo LATAM,11,N,Concepcion,Jueves,0
65065,Grupo LATAM,12,N,Iquique,Sabado,0
57500,Sky Airline,11,N,Calama,Domingo,0
34955,Grupo LATAM,7,N,Puerto Montt,Martes,0
16853,Grupo LATAM,3,I,Cordoba,Sabado,0
34643,Sky Airline,7,I,Buenos Aires,Lunes,0
53010,Grupo LATAM,10,N,Temuco,Sabado,0
16500,Grupo LATAM,3,I,Madrid,Sabado,0
24828,Grupo LATAM,5,N,Iquique,Martes,0
45857,Sky Airline,9,N,Calama,Viernes,0
11674,American Airlines,3,I,Miami,Lunes,0
48049,Grupo LATAM,9,N,Calama,Martes,0
59496,Grupo LATAM,11,N,Puerto Montt,Sabado,0
48667,Grupo LATAM,9,I,Cordoba,Viernes,0
32732,Aerolineas Argentinas,7,I,Buenos Aires,Martes,0
21640,Grupo LATAM,4,I,Lima,Domingo,0
54696,Grupo LATAM,10,I,Lima,Lunes,0
1578,Sky Airline,1,N,Concepcion,Martes,0
67331,Grupo LATAM,12,N,Antofagasta,Jueves,1
2346,Sky Airline,1,I,Buenos Aires,Jueves,0
37020,Grupo LATAM,7,I,Mendoza,Viernes,0
29249,Sky Airline,6,N,Arica,Martes,0
50671,Grupo LATAM,10,I,Sao Paulo,Domingo,0
23308,Sky Airline,5,N,Puerto Montt,Domingo,0
12701,Sky Airline,3,N,Puerto Montt,Martes,0
46282,Sky Airline,9,I,Mendoza,Viernes,1
10849,Grupo LATAM,2,I,Lima,Miercoles,1
54907,Grupo LATAM,10,I,Sao Paulo,Lunes,0
21862,Grupo LATAM,4,I,La Paz,Miercoles,0
33165,Gol Trans,7,I,Rio de Janeiro,Lunes,0
61840,JetSmart SPA,11,N,Temuco,Lunes,0
19851,Grupo LATAM,4,N,Concepcion,Lunes,0
42914,Grupo LATAM,8,I,Buenos Aires,Viernes,0
34863,Sky Airline,7,I,Lima,Domingo,0
26371,Grupo LATAM,5,I,Buenos Aires,Viernes,0
45344,Sky Airline,9,N,Puerto Montt,Domingo,0
46685,Grupo LATAM,9,N,Antofagasta,Lunes,1
67094,Grupo LATAM,12,I,Madrid,Lunes,0
66345,Grupo LATAM,12,I,Montevideo,Viernes,1
51923,Sky Airline,10,I,Buenos Aires,Jueves,0
37080,Grupo LATAM,7,I,Buenos Aires,Domingo,1
28511,Sky Airline,6,N,Puerto Montt,Viernes,0
35371,Grupo LATAM,7,N,Calama,Lunes,0
42401,Grupo LATAM,8,N,Antofagasta,Jueves,1
61503,Latin American Wings,11,N,Concepcion,Martes,0
16685,Grupo LATAM,3,N,Isla de Pascua,Sabado,0
46959,Grupo LATAM,9,N,Iquique,Lunes,1
49844,Air France,10,I,Paris,Jueves,0
30459,Grupo LATAM,6,N,Puerto Montt,Viernes,0
39108,Gol Trans,8,I,Sao Paulo,Lunes,1
39396,Grupo LATAM,8,I,Sao Paulo,Lunes,0
20327,Grupo LATAM,4,N,Balmaceda,Miercoles,0
9300,Grupo LATAM,2,N,Concepcion,Martes,0
38882,Copa Air,8,I,Ciudad de Panama,Viernes,0
10217,Grupo LATAM,2,N,Calama,Lunes,0
7529,Sky Airline,2,N,Concepcion,Martes,0
58991,Grupo LATAM,11,N,Concepcion,Domingo,0
34154,Sky Airline,7,N,Copiapo,Miercoles,1
9225,Grupo LATAM,2,N,Concepcion,Miercoles,0
30316,Grupo LATAM,6,N,Temuco,Miercoles,1
45955,Sky Airline,9,N,Antofagasta,Miercoles,0
41547,Grupo LATAM,8,N,Concepcion,Viernes,0
32769,Avianca,7,I,Bogota,Jueves,0
66739,Grupo LATAM,12,I,Lima,Domingo,0
18802,Sky Airline,4,N,Antofagasta,Martes,0
61463,Latin American Wings,11,N,Puerto Montt,Lunes,1
46526,Grupo LATAM,9,N,Punta Arenas,Viernes,0
47346,Grupo LATAM,9,N,Temuco,Viernes,0
17310,Aeromexico,4,I,Ciudad de Mexico,Domingo,0
21967,Grupo LATAM,4,I,Lima,Miercoles,0
30247,Grupo LATAM,6,N,Concepcion,Jueves,0
46355,Sky Airline,9,I,Montevideo,Domingo,0
40380,Sky Airline,8,N,Iquique,Jueves,0
36003,Grupo LATAM,7,N,Puerto Montt,Martes,1
67010,Grupo LATAM,12,I,Lima,Miercoles,0
30156,Grupo LATAM,6,N,Concepcion,Lunes,0
10421,Grupo LATAM,2,I,Buenos Aires,Jueves,0
6829,Avianca,2,I,Lima,Sabado,0
27484,Air Canada,6,I,Buenos Aires,Domingo,0
11015,Grupo LATAM,2,I,Sao Paulo,Martes,0
15137,Grupo LATAM,3,N,Balmaceda,Viernes,0
51916,Sky Airline,10,I,Buenos Aires,Jueves,0
14479,Grupo LATAM,3,N,Iquique,Martes,0
9424,Grupo LATAM,2,N,Valdivia,Viernes,0
4195,Grupo LATAM,1,N,La Serena,Domingo,0
893,United Airlines,1,I,Houston,Lunes,0
25464,Grupo LATAM,5,N,Puerto Montt,Martes,0
12903,Sky Airline,3,N,Valdivia,Domingo,0
58030,Sky Airline,11,I,Cordoba,Martes,0
28925,Sky Airline,6,N,Calama,Domingo,0
26156,Grupo LATAM,5,I,Mendoza,Domingo,0
49865,Air France,10,I,Paris,Sabado,0
49407,Grupo LATAM,9,I,Buenos Aires,Sabado,0
54052,Grupo LATAM,10,I,Mendoza,Viernes,0
59529,Grupo LATAM,11,N,Punta Arenas,Domingo,1
43403,Grupo LATAM,8,I,Lima,Viernes,0
66158,Grupo LATAM,12,N,Calama,Domingo,0
55005,Grupo LATAM,10,I,Santa Cruz,Miercoles,0
30560,Grupo LATAM,6,N,Punta Arenas,Sabado,0
4429,Grupo LATAM,1,N,Antofagasta,Viernes,0
63872,Sky Airline,12,N,Antofagasta,Domingo,0
42267,Grupo LATAM,8,N,Copiapo,Viernes,0
52225,Grupo LATAM,10,N,Punta Arenas,Jueves,1
31644,Grupo LATAM,6,I,Bogota,Viernes,0
4986,Grupo LATAM,1,I,Miami,Domingo,0
46213,Sky Airline,9,I,Buenos Aires,Lunes,0
5311,Grupo LATAM,1,I,Lima,Jueves,0
43713,Grupo LATAM,8,I,Guayaquil,Lunes,0
60867,Grupo LATAM,11,I,Sao Paulo,Jueves,1
40151,Sky Airline,8,N,Calama,Domingo,0
47553,Grupo LATAM,9,N,Balmaceda,Viernes,0
67232,Grupo LATAM,12,I,Melbourne,Sabado,0
12770,Sky Airline,3,N,Puerto Montt,Miercoles,0
2032,Sky Airline,1,N,Iquique,Martes,0
22712,Copa Air,5,I,Ciudad de Panama,Martes,1
53686,Grupo LATAM,10,N,Antofagasta,Miercoles,0
41730,Grupo LATAM,8,N,Temuco,Lunes,1
65126,Grupo LATAM,12,N,Arica,Domingo,0
54275,Grupo LATAM,10,I,Buenos Aires,Lunes,0
58050,Sky Airline,11,I,Montevideo,Domingo,0
15314,Grupo LATAM,3,N,La Serena,Viernes,0
34200,Sky Airline,7,N,Calama,Martes,0
21538,Grupo LATAM,4,I,Ciudad de Mexico,Jueves,1
52644,Grupo LATAM,10,N,Iquique,Sabado,0
20955,Grupo LATAM,4,I,Montevideo,Martes,1
54692,Grupo LATAM,10,I,Lima,Miercoles,1
5757,Grupo LATAM,1,I,Cordoba,Lunes,0
36731,Grupo LATAM,7,N,Calama,Viernes,0
51200,Sky Airline,10,N,Concepcion,Sabado,0
12564,Grupo LATAM,3,I,Sao Paulo,Sabado,0
55870,Air France,11,I,Paris,Sabado,0
9614,Grupo LATAM,2,N,Balmaceda,Sabado,0
57552,Sky Airline,11,N,Calama,Viernes,1
9944,Grupo LATAM,2,N,La Serena,Miercoles,0
49635,JetSmart SPA,9,N,Antofagasta,Martes,0
65140,Grupo LATAM,12,N,Concepcion,Miercoles,0
34685,Sky Airline,7,I,Buenos Aires,Viernes,0
29244,Sky Airline,6,N,Arica,Viernes,1
50857,Sky Airline,10,N,Puerto Montt,Viernes,0
23469,Sky Airline,5,N,Temuco,Jueves,1
2508,Sky Airline,1,I,Lima,Lunes,0
19116,Sky Airline,4,I,Cordoba,Martes,1
63310,Sky Airline,12,N,Osorno,Miercoles,1
10335,Grupo LATAM,2,N,Arica,Martes,0
38863,Copa Air,8,I,Ciudad de Panama,Domingo,0
61260,Grupo LATAM,11,I,Lima,Miercoles,1
39010,Copa Air,8,I,Ciudad de Panama,Jueves,1
17943,United Airlines,4,I,Houston,Domingo,0
53344,Grupo LATAM,10,N,Punta Arenas,Domingo,0
61398,Grupo LATAM,11,I,Buenos Aires,Martes,0
45628,Sky Airline,9,N,Concepcion,Martes,0
17393,Aerolineas Argentinas,4,I,Buenos Aires,Viernes,0
7612,Sky Airline,2,N,La Serena,Domingo,0
49522,Latin American Wings,9,I,Lima,Viernes,1
15187,Grupo LATAM,3,N,Punta Arenas,Miercoles,1
23404,Sky Airline,5,N,Temuco,Jueves,0
65646,Grupo LATAM,12,N,Balmaceda,Miercoles,1
65267,Grupo LATAM,12,N,Concepcion,Viernes,0
53841,Grupo LATAM,10,N,Calama,Martes,1
66991,Grupo LATAM,12,I,Lima,Lunes,0
19544,Grupo LATAM,4,N,Calama,Lunes,0
4514,Grupo LATAM,1,N,Calama,Lunes,1
49049,Grupo LATAM,9,I,Sao Paulo,Sabado,0
46876,Grupo LATAM,9,N,Iquique,Lunes,0
41124,Grupo LATAM,8,N,Calama,Lunes,0
30143,Grupo LATAM,6,N,Concepcion,Viernes,0
48575,Grupo LATAM,9,I,Buenos Aires,Martes,0
47017,Grupo LATAM,9,N,Iquique,Jueves,1
36259,Grupo LATAM,7,N,Puerto Montt,Jueves,0
64538,Grupo LATAM,12,N,Punta Arenas,Domingo,0
54445,Grupo LATAM,10,I,Miami,Domingo,0
55229,Grupo LATAM,10,I,Lima,Lunes,0
43207,Grupo LATAM,8,I,Nueva York,Sabado,0
8369,Sky Airline,2,I,Lima,Lunes,0
10251,Grupo LATAM,2,N,Calama,Martes,0
38346,Latin American Wings,7,I,Lima,Sabado,1
56600,Oceanair Linhas Aereas,11,I,Sao Paulo,Jueves,0
13210,Sky Airline,3,N,Calama,Domingo,0
32514,Air France,7,I,Paris,Lunes,0
30190,Grupo LATAM,6,N,Concepcion,Lunes,0
16410,Grupo LATAM,3,I,Lima,Viernes,0
19800,Grupo LATAM,4,N,Arica,Sabado,0
13714,Sky Airline,3,I,Buenos Aires,Domingo,0
19086,Sky Airline,4,I,Mendoza,Jueves,0
9742,Grupo LATAM,2,N,Punta Arenas,Domingo,0
2208,Sky Airline,1,N,Arica,Lunes,0
59937,Grupo LATAM,11,N,Calama,Lunes,0
12748,Sky Airline,3,N,Punta Arenas,Sabado,0
42513,Grupo LATAM,8,N,Calama,Sabado,0
59862,Grupo LATAM,11,N,Calama,Domingo,0
5140,Grupo LATAM,1,I,Cancun,Viernes,0
43634,Grupo LATAM,8,I,Santa Cruz,Miercoles,0
48162,Grupo LATAM,9,N,Iquique,Domingo,0
62004,Aeromexico,12,I,Ciudad de Mexico,Viernes,0
55900,Aeromexico,11,I,Ciudad de Mexico,Sabado,0
47865,Grupo LATAM,9,N,Copiapo,Sabado,0
25947,Grupo LATAM,5,N,Calama,Martes,0
13413,Sky Airline,3,N,Antofagasta,Viernes,0
67508,Grupo LATAM,12,I,Lima,Lunes,1
32871,British Airways,7,I,Londres,Miercoles,0
12267,Delta Air,3,I,Atlanta,Domingo,0
1992,Sky Airline,1,N,Antofagasta,Viernes,0
20412,Grupo LATAM,4,N,Puerto Montt,Viernes,0
4276,Grupo LATAM,1,N,Copiapo,Sabado,0
55643,JetSmart SPA,10,N,Copiapo,Lunes,1
62746,United Airlines,12,I,Houston,Viernes,0
10812,Grupo LATAM,2,I,Los Angeles,Domingo,0
46530,Grupo LATAM,9,N,Punta Arenas,Domingo,0
36343,Grupo LATAM,7,N,La Serena,Miercoles,1
57620,Sky Airline,11,N,Antofagasta,Viernes,0
4095,Grupo LATAM,1,N,Puerto Montt,Martes,0
44937,United Airlines,9,I,Houston,Lunes,0
18013,Grupo LATAM,4,I,Sao Paulo,Lunes,0
4000,Grupo LATAM,1,N,Punta Arenas,Jueves,0
20889,Grupo LATAM,4,N,Arica,Martes,0
41539,Grupo LATAM,8,N,Concepcion,Martes,0
9192,Grupo LATAM,2,N,Concepcion,Viernes,0
4309,Grupo LATAM,1,N,Copiapo,Jueves,1
41914,Grupo LATAM,8,N,Puerto Montt,Domingo,0
56960,Sky Airline,11,N,Punta Arenas,Miercoles,0
32758,Avianca,7,I,Bogota,Sabado,0
67795,Latin American Wings,12,I,Mendoza,Martes,0
35389,Grupo LATAM,7,N,Iquique,Jueves,0
42261,Grupo LATAM,8,N,Copiapo,Jueves,1
1141,Grupo LATAM,1,I,Lima,Sabado,0
51663,Sky Airline,10,N,Iquique,Domingo,1
6206,Air Canada,2,I,Toronto,Lunes,1
2521,Sky Airline,1,I,Lima,Domingo,0
48992,Grupo LATAM,9,I,Lima,Martes,1
46665,Grupo LATAM,9,N,Antofagasta,Domingo,0
43521,Grupo LATAM,8,I,Sao Paulo,Jueves,1
62322,Copa Air,12,I,Ciudad de Panama,Domingo,0
2358,Sky Airline,1,I,Mendoza,Domingo,0
56885,Grupo LATAM,11,I,Sao Paulo,Martes,0
64518,Grupo LATAM,12,N,Castro (Chiloe),Miercoles,0
21644,Grupo LATAM,4,I,Lima,Jueves,1
35002,Grupo LATAM,7,N,Copiapo,Jueves,0
38212,Latin American Wings,7,N,Concepcion,Viernes,1
39951,Sky Airline,8,N,Concepcion,Sabado,0
43556,Grupo LATAM,8,I,Sao Paulo,Martes,0
14335,Grupo LATAM,3,N,Calama,Jueves,0
58593,Grupo LATAM,11,N,Calama,Martes,0
1837,Sky Airline,1,N,Calama,Lunes,0
22528,Avianca,5,I,Bogota,Domingo,1
25863,Grupo LATAM,5,N,Antofagasta,Lunes,0
48970,Grupo LATAM,9,I,Lima,Lunes,1
17198,American Airlines,4,I,Dallas,Domingo,0
12099,British Airways,3,I,Londres,Sabado,0
28542,Sky Airline,6,N,Puerto Montt,Lunes,0
45515,Sky Airline,9,N,Temuco,Viernes,0
40014,Sky Airline,8,N,La Serena,Martes,0
64864,Grupo LATAM,12,N,Calama,Lunes,0
41573,Grupo LATAM,8,N,Concepcion,Jueves,0
60423,Grupo LATAM,11,I,Buenos Aires,Miercoles,0
26947,Grupo LATAM,5,I,Sao Paulo,Jueves,1
37339,Grupo LATAM,7,I,Orlando,Miercoles,0
35087,Grupo LATAM,7,N,Antofagasta,Domingo,0
41745,Grupo LATAM,8,N,Temuco,Lunes,0
13327,Sky Airline,3,N,Antofagasta,Jueves,0
11590,Grupo LATAM,2,I,Buenos Aires,Sabado,1
9500,Grupo LATAM,2,N,Puerto Montt,Miercoles,0
11528,Grupo LATAM,2,I,Lima,Miercoles,0
52865,Grupo LATAM,10,N,Concepcion,Martes,1
4040,Grupo LATAM,1,N,Puerto Montt,Sabado,0
37309,Grupo LATAM,7,I,Miami,Domingo,1
21581,Grupo LATAM,4,I,Lima,Domingo,0
24852,Grupo LATAM,5,N,Iquique,Miercoles,0
35740,Grupo LATAM,7,N,Concepcion,Viernes,0
63588,Sky Airline,12,N,Copiapo,Lunes,1
33046,Copa Air,7,I,Ciudad de Panama,Miercoles,0
4216,Grupo LATAM,1,N,La Serena,Lunes,0
66217,Grupo LATAM,12,N,Arica,Domingo,0
16556,Grupo LATAM,3,I,Sao Paulo,Jueves,0
30261,Grupo LATAM,6,N,Concepcion,Lunes,0
27825,Alitalia,6,I,Roma,Martes,0
18635,Sky Airline,4,N,Calama,Domingo,0
5858,Grupo LATAM,1,I,Guayaquil,Domingo,0
34763,Sky Airline,7,I,Cordoba,Sabado,1
1220,Grupo LATAM,1,I,Sao Paulo,Sabado,1
3026,Grupo LATAM,1,N,La Serena,Viernes,0
19017,Sky Airline,4,I,Buenos Aires,Miercoles,0
969,Grupo LATAM,1,I,Sao Paulo,Miercoles,1
28442,Sky Airline,6,N,Puerto Montt,Lunes,0
23192,Grupo LATAM,5,I,Sao Paulo,Domingo,0
7222,Sky Airline,2,N,Punta Arenas,Sabado,0
63085,Sky Airline,12,N,Puerto Montt,Jueves,0
5371,Grupo LATAM,1,I,Sao Paulo,Jueves,0
1879,Sky Airline,1,N,Antofagasta,Viernes,0
20758,Grupo LATAM,4,N,Calama,Lunes,0
28764,Sky Airline,6,N,Concepcion,Domingo,0
32401,American Airlines,7,I,Miami,Martes,0
38232,Latin American Wings,7,N,Concepcion,Lunes,0
2787,Grupo LATAM,1,N,Antofagasta,Viernes,0
24583,Grupo LATAM,5,N,Antofagasta,Martes,0
18080,Grupo LATAM,4,I,Rio de Janeiro,Miercoles,0
44956,Oceanair Linhas Aereas,9,I,Sao Paulo,Sabado,0
17646,Copa Air,4,I,Ciudad de Panama,Domingo,0
1328,Sky Airline,1,N,Puerto Montt,Lunes,0
